"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
19752019,2532309,10674,"mo097_parsons_1_85_parsons silt loam, 0 to 1 percent slopes_2thdx_0",2265150,10674,2606632,698026,85,"MO"
19752020,2532309,10674,"mo097_dennis_0_6_parsons silt loam, 0 to 1 percent slopes_2thdx_0",2265146,10674,2606632,698026,6,"MO"
19752021,2532309,10674,"mo097_zaar_0_3_parsons silt loam, 0 to 1 percent slopes_2thdx_0",2265147,10674,2606632,698026,3,"MO"
19752022,2532309,10674,"mo097_pharoah_0_5_parsons silt loam, 0 to 1 percent slopes_2thdx_0",2265148,10674,2606632,698026,5,"MO"
19752023,2532309,10674,"mo097_aquolls_0_1_parsons silt loam, 0 to 1 percent slopes_2thdx_0",2265149,10674,2606632,698026,1,"MO"
19752095,2501309,10674,"mo097_kanima_1_95_kanima very channery loam, 3 to 50 percent slopes_2ydv4_0",2724330,10674,2723323,831769,95,"MO"
19752096,2501309,10674,"mo097_water_0_5_kanima very channery loam, 3 to 50 percent slopes_2ydv4_0",2646704,10674,2723323,831769,5,"MO"
19751968,105695,10674,"mo097_crackerneck_1_90_crackerneck extremely gravelly silt loam, 8 to 15 percent slopes_3jzj_0",1201387,10674,105695,456660,90,"MO"
19751969,105695,10674,"mo097_viburnum_0_5_crackerneck extremely gravelly silt loam, 8 to 15 percent slopes_3jzj_0",2727314,10674,105695,456660,5,"MO"
19751970,105695,10674,"mo097_pomme_0_5_crackerneck extremely gravelly silt loam, 8 to 15 percent slopes_3jzj_0",2727315,10674,105695,456660,5,"MO"
19751971,105699,10674,"mo097_eldorado_1_100_eldorado silt loam, 1 to 3 percent slopes, very stony_3jzn_0",1201389,10674,105699,456662,100,"MO"
19752081,105705,10674,"mo097_eldorado_1_25_hoberg-eldorado-pomme silt loams, 1 to 3 percent slopes_3jzv_0",1201479,10674,105705,456692,25,"MO"
19752082,105705,10674,"mo097_hoberg_1_55_hoberg-eldorado-pomme silt loams, 1 to 3 percent slopes_3jzv_0",1201478,10674,105705,456692,55,"MO"
19752083,105705,10674,"mo097_pomme_1_20_hoberg-eldorado-pomme silt loams, 1 to 3 percent slopes_3jzv_0",1201480,10674,105705,456692,20,"MO"
19752004,105712,10674,"mo097_gatewood_0_5_newtonia-eldorado silt loams, 1 to 3 percent slopes, moderately eroded_3k02_0",2726746,10674,105712,456700,5,"MO"
19752005,105712,10674,"mo097_eldorado_1_20_newtonia-eldorado silt loams, 1 to 3 percent slopes, moderately eroded_3k02_0",1201497,10674,105712,456700,20,"MO"
19752006,105712,10674,"mo097_newtonia_1_75_newtonia-eldorado silt loams, 1 to 3 percent slopes, moderately eroded_3k02_0",1201496,10674,105712,456700,75,"MO"
19752048,105716,10674,"mo097_opolis_1_95_opolis loam, 1 to 3 percent slopes, moderately eroded_3k06_0",1201501,10674,105716,456702,95,"MO"
19752088,105720,10674,"mo097_rueter_1_15_pomme-rueter complex, 1 to 3 percent slopes_3k0b_0",1201513,10674,105720,456707,15,"MO"
19752089,105720,10674,"mo097_pomme_1_85_pomme-rueter complex, 1 to 3 percent slopes_3k0b_0",1201512,10674,105720,456707,85,"MO"
19752092,105722,10674,"mo097_goss_0_5_rueter very gravelly silt loam, 1 to 3 percent slopes_3k0d_0",2727240,10674,105722,456709,5,"MO"
19752093,105722,10674,"mo097_rueter_1_90_rueter very gravelly silt loam, 1 to 3 percent slopes_3k0d_0",1201519,10674,105722,456709,90,"MO"
19752094,105722,10674,"mo097_crackerneck_0_5_rueter very gravelly silt loam, 1 to 3 percent slopes_3k0d_0",2727241,10674,105722,456709,5,"MO"
19752050,105724,10674,"mo097_sylvania_1_90_sylvania gravelly silt loam, 1 to 3 percent slopes_3k0g_0",1201523,10674,105724,456711,90,"MO"
19752051,105727,10674,"mo097_sylvania_1_90_sylvania very gravelly silt loam, 3 to 8 percent slopes_3k0k_0",1201532,10674,105727,456713,90,"MO"
19752007,105731,10674,"mo097_pomme_0_2_winnipeg silt loam, 1 to 3 percent slopes_3k0p_0",2726132,10674,105731,456715,2,"MO"
19752008,105731,10674,"mo097_splitlimb_0_1_winnipeg silt loam, 1 to 3 percent slopes_3k0p_0",2726133,10674,105731,456715,1,"MO"
19752009,105731,10674,"mo097_winnipeg_1_95_winnipeg silt loam, 1 to 3 percent slopes_3k0p_0",1201537,10674,105731,456715,95,"MO"
19752010,105731,10674,"mo097_clarksville_0_2_winnipeg silt loam, 1 to 3 percent slopes_3k0p_0",2726131,10674,105731,456715,2,"MO"
19752028,2498758,10674,"mo097_pits_1_98_pits, borrow_2ydsv_borrow",2646545,10674,2723283,831726,98,"MO"
19752029,2498758,10674,"mo097_water_0_2_pits, borrow_2ydsv_0",2646546,10674,2723283,831726,2,"MO"
19752030,2498847,10674,"mo097_dumps_1_100_dumps, mine_2ydsx_mine",2646548,10674,2723285,831728,100,"MO"
19752031,2498809,10674,"mo097_pits_1_100_pits, gravel and quarry_2ydsy_gravel and quarry",2646549,10674,2723286,831729,100,"MO"
19752063,2673103,10674,"mo097_carl_1_95_carl silty clay loam, 1 to 3 percent slopes, rarely flooded_2q00w_0",1910994,10674,2502471,576164,95,"MO"
19752064,2673103,10674,"mo097_verdigris_0_5_carl silty clay loam, 1 to 3 percent slopes, rarely flooded_2q00w_0",2049637,10674,2502471,576164,5,"MO"
19752073,2534244,10674,"mo097_dennis_0_3_newtonia silt loam, 1 to 3 percent slopes_2th3m_0",2266776,10674,2606344,699842,3,"MO"
19752074,2534244,10674,"mo097_newtonia_1_92_newtonia silt loam, 1 to 3 percent slopes_2th3m_0",2266775,10674,2606344,699842,92,"MO"
19752075,2534244,10674,"mo097_okemah_0_2_newtonia silt loam, 1 to 3 percent slopes_2th3m_0",2266779,10674,2606344,699842,2,"MO"
19752076,2534244,10674,"mo097_peridge_0_3_newtonia silt loam, 1 to 3 percent slopes_2th3m_0",2266778,10674,2606344,699842,3,"MO"
19752046,2501247,10674,"mo097_orthents_1_100_landfills_2q0q9_0",1198716,10674,2503135,456025,100,"MO"
19752065,2532315,10674,"mo097_sylvania_1_95_sylvania loam, 3 to 8 percent slopes_2qnwn_0",1200776,10674,2522521,456525,95,"MO"
19751972,2532324,10674,"mo097_keeno_0_5_eldorado very gravelly silt loam, 3 to 8 percent slopes, very stony_2qnwr_0",2726289,10674,2522524,455515,5,"MO"
19751973,2532324,10674,"mo097_eldorado_1_95_eldorado very gravelly silt loam, 3 to 8 percent slopes, very stony_2qnwr_0",1196253,10674,2522524,455515,95,"MO"
19751974,2532327,10674,"mo097_maplegrove_1_97_maplegrove silt loam, 1 to 3 percent slopes_2qnws_0",1201483,10674,2522525,456694,97,"MO"
19751975,2532327,10674,"mo097_carl_0_2_maplegrove silt loam, 1 to 3 percent slopes_2qnws_rarely flooded",1452076,10674,2522525,456694,2,"MO"
19751976,2532328,10674,"mo097_medoc_1_95_medoc silt loam, 0 to 1 percent slopes_2qnwt_0",1201490,10674,2522526,456696,95,"MO"
19752002,2532330,10674,"mo097_eldorado_1_25_newtonia-eldorado silt loams, 1 to 3 percent slopes_2qnwv_0",1201494,10674,2522527,456699,25,"MO"
19752003,2532330,10674,"mo097_newtonia_1_75_newtonia-eldorado silt loams, 1 to 3 percent slopes_2qnwv_0",1201493,10674,2522527,456699,75,"MO"
19751977,2532332,10674,"mo097_opolis_1_95_opolis silt loam, 0 to 1 percent slopes_2qnww_0",1201502,10674,2522528,456703,95,"MO"
19752049,2532334,10674,"mo097_opolis_1_95_opolis silt loam, 1 to 3 percent slopes_2qnwx_0",1201503,10674,2522529,456704,95,"MO"
19751981,2532336,10674,"mo097_sylvania_1_74_sylvania loam, 8 to 15 percent slopes_2qnwy_0",1201527,10674,2522530,456712,74,"MO"
19752069,2532490,10674,"mo097_carl_1_95_carl silty clay loam, 0 to 1 percent slopes, rarely flooded_2qny9_0",1201267,10674,2522572,456626,95,"MO"
19752047,2532492,10674,"mo097_mccune_1_95_mccune silt loam, 0 to 1 percent slopes_2qnyb_0",1201487,10674,2522573,456695,95,"MO"
19752107,2534794,10674,"mo097_nixa_0_5_captina silt loam, 1 to 3 percent slopes_2rk3x_0",2111967,10674,2548693,636536,5,"MO"
19752108,2534794,10674,"mo097_needleye_0_5_captina silt loam, 1 to 3 percent slopes_2rk3x_0",2111958,10674,2548693,636536,5,"MO"
19752109,2534794,10674,"mo097_captina_1_90_captina silt loam, 1 to 3 percent slopes_2rk3x_0",2111959,10674,2548693,636536,90,"MO"
19751987,2532320,10674,"mo097_barco_1_90_barco loam, 1 to 3 percent slopes_2wqfp_0",2450106,10674,2672965,772560,90,"MO"
19751988,2532320,10674,"mo097_barden_0_5_barco loam, 1 to 3 percent slopes_2wqfp_0",2450108,10674,2672965,772560,5,"MO"
19751989,2532320,10674,"mo097_collinsville_0_5_barco loam, 1 to 3 percent slopes_2wqfp_0",2450107,10674,2672965,772560,5,"MO"
