"cokey","mukey","lkey","key.join","coiid","liid","muiid","dmuiid","comppct","state"
19988539,331732,12809,"ms003_unnamed hydric soils (134de)_0_5_bude silt loam_c461_0",1454222,12809,331732,497083,5,"MS"
19988540,331732,12809,"ms003_bude_1_95_bude silt loam_c461_0",1454218,12809,331732,497083,95,"MS"
19988658,331733,12809,"ms003_unnamed hydric soils (133dr)_0_5_cahaba-ruston association, hilly, (ruston, smithdale)_c462_0",1441996,12809,331733,184047,5,"MS"
19988659,331733,12809,"ms003_cahaba_1_35_cahaba-ruston association, hilly, (ruston, smithdale)_c462_0",1564660,12809,331733,184047,35,"MS"
19988660,331733,12809,"ms003_mantachie_0_10_cahaba-ruston association, hilly, (ruston, smithdale)_c462_0",1564664,12809,331733,184047,10,"MS"
19988661,331733,12809,"ms003_ruston_1_22_cahaba-ruston association, hilly, (ruston, smithdale)_c462_0",1564661,12809,331733,184047,22,"MS"
19988662,331733,12809,"ms003_shubuta_0_13_cahaba-ruston association, hilly, (ruston, smithdale)_c462_0",1319209,12809,331733,184047,13,"MS"
19988663,331733,12809,"ms003_linker_0_15_cahaba-ruston association, hilly, (ruston, smithdale)_c462_0",1319210,12809,331733,184047,15,"MS"
19988541,331734,12809,"ms003_ruston_1_42_gullied land-ruston complex, 8 to 40 percent slopes-ruston, (smithdale)_c463_0",385049,12809,331734,184048,42,"MS"
19988542,331734,12809,"ms003_gullied land_1_44_gullied land-ruston complex, 8 to 40 percent slopes-ruston, (smithdale)_c463_0",385048,12809,331734,184048,44,"MS"
19988543,331734,12809,"ms003_ora_0_14_gullied land-ruston complex, 8 to 40 percent slopes-ruston, (smithdale)_c463_0",1319240,12809,331734,184048,14,"MS"
19988664,331735,12809,"ms003_bude_0_5_henry silt loam_c464_0",1317701,12809,331735,184049,5,"MS"
19988665,331735,12809,"ms003_henry_1_95_henry silt loam_c464_0",385050,12809,331735,184049,95,"MS"
